Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,12,23,0,851,226,37.0,1837,46.32,2,4,3,92,1
RJ Burns,12,23,0,824,133,35.82,1882,43.78,2,5,1,106,0
BA Stokes,11,21,3,821,135*,45.61,1559,52.66,2,4,1,90,17
JL Denly,11,21,0,651,94,31.0,1567,41.54,0,6,0,87,4
JC Buttler,10,20,0,502,70,25.1,1036,48.45,0,3,1,63,6
JM Bairstow,10,19,1,334,52,18.55,662,50.45,0,2,2,44,3
SM Curran,7,13,3,206,37,20.6,268,76.86,0,0,1,31,3
JJ Roy,5,10,0,187,72,18.7,318,58.8,0,1,1,26,1
MJ Leach,6,11,5,165,92,27.5,405,40.74,0,1,1,25,0
CR Woakes,6,10,1,133,37*,14.77,273,48.71,0,0,2,16,2
OJ Pope,2,3,0,110,75,36.66,282,39.0,0,1,0,13,0
JC Archer,7,12,0,97,30,8.08,195,49.74,0,0,0,15,1
SCJ Broad,11,19,7,94,29,7.83,211,44.54,0,0,5,7,3
MM Ali,5,9,0,90,60,10.0,202,44.55,0,1,4,10,1
DP Sibley,3,5,0,71,29,14.2,247,28.74,0,0,0,11,0
KK Jennings,2,4,0,62,23,15.5,260,23.84,0,0,0,6,0
BT Foakes,2,4,0,55,35,13.75,125,44.0,0,0,0,8,0
C Overton,1,2,0,26,21,13.0,120,21.66,0,0,0,2,0
OP Stone,1,2,0,19,19,9.5,29,65.51,0,0,1,4,0
AU Rashid,1,2,0,13,12,6.5,24,54.16,0,0,0,3,0
JM Anderson,5,9,5,12,4*,3.0,65,18.46,0,0,2,2,0
MA Wood,1,1,0,6,6,6.0,4,150.0,0,0,0,0,0
Z Crawley,1,1,0,1,1,1.0,6,16.66,0,0,0,0,0
